objectid,title,state,university,repo-y-or-no,reponame,filename,pubtitle,titlesincollection,agency,numberofitems,date-range,software,imagefile?,pdf?,type,format,subject
agpubrepos0001,Publications (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/1019,Publications,,Alaska Cooperative Extension Service ,10,1956-2012,DSpace,,Yes,url,transmat
agpubrepos0002,The role of fire in the Alaska taiga: an unsolved problem ﻿  (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/6674,The role of fire in the Alaska taiga: an unsolved problem ﻿ ,Bureau of Land Management ,,1,1974-2012,DSpace,,Yes,url,
agpubrepos0003,Forest Growth & Yield Program (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/1201,Forest Growth & Yield Program,,Agricultural and Forestry Experiment Station (AFES) ,10,1951-2002,DSpace,,Yes,url,record,
agpubrepos0004,2013 Data Files (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/4740,2013 Data Files,"Cooperative Alaska Forest Inventory (CAFI) Malone, Thomas; Liang, Jingjing; Packee, Edmond C.",Agricultural and Forestry Experiment Station (AFES) ,8,2013,DSpace,,Yes,url,record,
agpubrepos0005,2014 Data Files (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/4740,2014 Data Files,"Cooperative Alaska Forest Inventory (CAFI) Malone, Thomas; Liang, Jingjing; Packee, Edmond C.",Agricultural and Forestry Experiment Station (AFES) ,9,2014,DSpace,,Yes,url,record,
agpubrepos0006,2015 Data Files (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/6253,2015 Data Files,"Cooperative Alaska Forest Inventory (CAFI) Malone, Thomas; Liang, Jingjing; Packee, Edmond C.",Agricultural and Forestry Experiment Station (AFES) at UAF,9,2015,DSpace,,Yes,url,record,
agpubrepos0007,CAFI Manuals (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/4789,CAFI Manuals,"Cooperative Alaska Forest Inventory (CAFI) Malone, Thomas; Liang, Jingjing; Packee, Edmond C.",Agricultural and Forestry Experiment Station (AFES),1,2004,DSpace,,Yes,url,record,
agpubrepos0008,Theses (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/3201,Theses,Agricultural and Forestry Experiment Station (AFES) Theses,,3,1992-2011,DSpace,,Yes,url,record,
agpubrepos0009,Annual Reports (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/2206,Annual Reports,,Agricultural and Forestry Experiment Station (AFES) ,10,,DSpace,,Yes,url,record,
agpubrepos0010,Bulletin (University of Alaska Fairbanks),Alaska,University of Alaska Fairbanks,Y,ScholarWorks,https://scholarworks.alaska.edu/handle/11122/1204,Bulletin,,Agricultural and Forestry Experiment Station (AFES) ,,,DSpace,,Yes,url,record,
